torch.Size([64, 3, 3, 3])
0.015625
0
-11;0;7;
7;-10;-13;
-2;13;-16;
8;-7;14;
7;8;-6;
-10;18;1;
-27;1;8;
0;0;1;
0;1;1;
1;0;1;
2;1;1;
2;1;1;
1;1;0;
1;1;0;
1;0;0;
0;0;-1;
0;2;1;
-3;0;3;
2;-5;-1;
-5;-2;-6;
-3;-2;-1;
-1;-3;-4;
3;1;5;
0;-1;2;
-3;-4;-2;
-10;-14;-9;
0;1;1;
-14;-7;-11;
-5;2;13;
3;-4;-7;
5;2;-3;
4;14;4;
17;3;8;
7;3;-3;
2;-2;-1;
7;-2;-13;
-2;19;-6;
-5;-19;2;
15;3;-13;
2;19;-13;
4;4;-2;
28;-6;-13;
-9;8;-9;
-2;-1;0;
-5;-13;-4;
5;14;4;
-1;-3;-6;
-4;-3;8;
7;4;6;
-1;-3;0;
-4;-8;5;
0;9;-2;
-33;28;14;
19;23;1;
7;-60;0;
-47;14;-17;
22;27;-29;
40;-13;10;
-9;-7;13;
2;12;-1;
-3;-21;13;
9;12;3;
-11;-7;4;
2;2;-12;
-3;-11;6;
-16;15;-20;
1;3;3;
-8;-3;-8;
12;-13;-8;
18;2;20;
-24;-15;-32;
20;17;20;
5;-7;27;
0;-10;-1;
-6;18;6;
-4;-9;-14;
2;1;0;
4;-9;14;
2;6;-15;
-24;-6;-42;
-24;31;15;
13;16;32;
-33;-10;3;
27;-5;14;
19;-39;25;
59;29;24;
39;-75;-1;
-31;-27;-26;
1;1;0;
3;4;2;
3;2;0;
1;2;-1;
6;4;2;
0;2;0;
-2;0;1;
-2;-3;-2;
-5;-3;-1;
24;13;-45;
-14;0;29;
18;-16;4;
-16;13;-20;
-33;3;40;
43;-29;-22;
12;41;-9;
-63;25;35;
14;-39;-11;
